features,ChurnIndex
"[8.0,71.21,613.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[62.0,24.49,1230.58,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[6.0,103.81,587.57,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[22.0,93.42,2242.08,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[57.0,27.23,1780.82,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[60.0,27.62,2098.31,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[40.0,66.63,2654.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"(10,[0,1,3,5,7],[35.0,98.45,1.0,1.0,1.0])",0.0
"[2.0,98.53,201.59,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[60.0,76.67,4820.1,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[2.0,72.58,155.4,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[17.0,96.7,1660.26,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[24.0,43.17,1134.88,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",1.0
"[52.0,60.41,3298.8,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[59.0,54.35,2659.05,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[5.0,69.21,326.51,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[41.0,60.12,2837.06,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[6.0,91.67,540.52,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[10.0,106.8,988.6,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[37.0,52.31,1699.3,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[39.0,32.12,1204.2,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[38.0,33.86,1104.01,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[5.0,91.33,491.58,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[3.0,61.41,168.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[12.0,83.35,1106.41,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[57.0,48.08,2615.51,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[17.0,51.34,991.33,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[17.0,97.71,1827.39,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
